hash,temp
21/3/18 22:03,27.9
21/3/18 22:13,27.87
21/3/18 22:23,27.9
21/3/18 22:33,27.93
21/3/18 22:43,27.9
21/3/18 22:53,27.9
21/3/18 23:03,27.9
21/3/18 23:13,27.73
21/3/18 23:23,27.43
21/3/18 23:33,26.6
21/3/18 23:43,26.53
21/3/18 23:53,26.66
22/3/18 0:03,26.6
22/3/18 0:13,26.63
22/3/18 0:23,26.7
22/3/18 0:33,26.9
22/3/18 0:43,27.13
22/3/18 0:53,27.2
22/3/18 1:03,27.2
22/3/18 1:13,27.2
22/3/18 1:23,27.2
22/3/18 1:33,27.4
22/3/18 1:43,27.2
22/3/18 1:53,27.23
22/3/18 2:03,27.27
22/3/18 2:13,27.27
22/3/18 2:23,27.2
22/3/18 2:33,27.26
22/3/18 2:43,27.13
22/3/18 2:53,27.17
22/3/18 3:03,27.1
22/3/18 3:13,26.96
22/3/18 3:23,27.07
22/3/18 3:33,27
22/3/18 3:43,27.06
22/3/18 3:53,27.13
22/3/18 4:03,27.16
22/3/18 4:13,27.17
22/3/18 4:23,27.1
22/3/18 4:33,27
22/3/18 4:43,26.96
22/3/18 4:53,26.83
22/3/18 5:03,26.77
22/3/18 5:13,26.83
22/3/18 5:23,26.9
22/3/18 5:33,27.27
22/3/18 5:43,27.37
22/3/18 5:53,27.36
22/3/18 6:03,27.4
22/3/18 6:13,27.63
22/3/18 6:23,27.3
22/3/18 6:33,27.27
22/3/18 6:43,27.33
22/3/18 6:53,27.26
22/3/18 7:03,27.36
22/3/18 7:13,27.63
22/3/18 7:23,27.77
22/3/18 7:33,27.96
22/3/18 7:43,28
22/3/18 7:53,28.03
22/3/18 8:03,28.03
22/3/18 8:13,28.13
22/3/18 8:23,28.37
22/3/18 8:33,28.3
22/3/18 8:43,28.27
22/3/18 8:53,28.2
22/3/18 9:03,28.53
22/3/18 9:13,28.63
22/3/18 9:23,28.83
22/3/18 9:33,28.97
22/3/18 9:43,28.9
22/3/18 9:53,28.83
22/3/18 10:03,28.77
22/3/18 10:13,28.76
22/3/18 10:23,28.7
22/3/18 10:33,28.76
22/3/18 10:43,28.76
22/3/18 10:53,28.76
22/3/18 11:03,28.93
22/3/18 11:13,29.47
22/3/18 11:23,29.47
22/3/18 11:33,29.3
22/3/18 11:43,29.66
22/3/18 11:53,29.63
22/3/18 12:03,29.26
22/3/18 12:13,29.53
22/3/18 12:23,29.77
22/3/18 12:33,29.67
22/3/18 12:43,29.9
22/3/18 12:53,29.16
22/3/18 13:03,29.33
22/3/18 13:13,29.27
22/3/18 13:23,29.1
22/3/18 13:43,28.7
22/3/18 13:53,28.97
22/3/18 14:03,29.07
22/3/18 14:13,28.93
22/3/18 14:33,29.2
22/3/18 14:43,29.5
22/3/18 14:53,29.33
22/3/18 15:03,29.43
22/3/18 15:13,29.67
22/3/18 15:23,29.33
22/3/18 15:33,29.46
22/3/18 15:43,28.93
22/3/18 15:53,27.67
22/3/18 16:03,26.97
22/3/18 16:13,27.03
22/3/18 16:23,27.77
22/3/18 16:33,28.1
22/3/18 16:43,28.4
22/3/18 16:53,28.63
22/3/18 17:03,28.73
22/3/18 17:13,28.83
22/3/18 17:23,28.76
22/3/18 17:33,28.8
22/3/18 17:43,28.53
22/3/18 17:53,28.23
22/3/18 18:03,28.2
22/3/18 18:13,28.03
22/3/18 18:23,27.56
22/3/18 18:33,27.36
22/3/18 18:43,27.26
22/3/18 18:53,26.43
22/3/18 19:03,26.53
22/3/18 19:13,26.27
22/3/18 19:23,26
22/3/18 19:33,25.93
22/3/18 19:43,25.9
22/3/18 19:53,25.93
22/3/18 20:03,26.2
22/3/18 20:13,26.2
22/3/18 20:23,26.47
